27
Arsenal,93,85,55,26,17,4,5,95,71,3,1820000
Borussia Dortmund,81,77,49,26,15,4,7,77,66,3,1620000
Bayern Monachium,91,87,48,26,14,6,6,82,62,3,1580000
PSG,91,88,47,26,14,5,7,75,67,0,1550000
Liverpool,90,85,46,26,13,7,6,83,66,-1,1510000
Real Madryt,90,85,40,26,11,7,8,79,66,1,1310000
FC Barcelona,91,84,38,26,10,8,8,81,70,1,1240000
Chelsea,86,79,36,26,11,3,12,79,77,0,1190000
AC Milan,83,78,36,26,10,6,10,75,77,0,1180000
Man City,91,80,34,26,9,7,10,74,74,0,1110000
Juventus,80,80,29,26,8,5,13,60,69,-2,950000
RC Lens,75,79,23,26,6,5,15,60,71,-1,750000
Legia Warszawa,65,60,22,26,6,4,16,53,79,-2,720000
Lech Poznan,67,57,6,26,1,3,22,41,99,-3,190000
